blm_category,missing_id
biolink:Disease,UMLS:C5206683
biolink:Disease,UMLS:C5230235
biolink:Disease,UMLS:C5397849
biolink:Disease,UMLS:C5395996
biolink:Disease,UMLS:C5206653
biolink:Disease,UMLS:C5204269
biolink:Disease,UMLS:C5392210
biolink:Disease,UMLS:C5207031
biolink:Disease,UMLS:C5239290
biolink:Disease,UMLS:C5205655
biolink:Disease,UMLS:C5230913
biolink:Disease,UMLS:C5204447
biolink:Disease,UMLS:C5397939
biolink:Disease,UMLS:C5236985
biolink:Disease,UMLS:C5395220
biolink:Disease,UMLS:C5395739
biolink:Disease,UMLS:C5204526
biolink:Disease,UMLS:C5212315
biolink:Disease,UMLS:C0205339
biolink:Disease,UMLS:C5205436
biolink:Disease,UMLS:C5200989
biolink:Disease,UMLS:C5204259
biolink:Disease,UMLS:C5206465
biolink:Disease,UMLS:C5392075
biolink:Disease,UMLS:C5205387
biolink:Disease,UMLS:C5204622
biolink:Disease,UMLS:C5239111
biolink:Disease,UMLS:C5396409
biolink:Disease,UMLS:C5392838
biolink:Disease,UMLS:C5391328
biolink:Disease,UMLS:C5206481
biolink:Disease,UMLS:C5239580
biolink:Disease,UMLS:C5391534
biolink:Disease,UMLS:C5397848
biolink:Disease,UMLS:C5204698
biolink:Disease,UMLS:C5239116
biolink:Disease,UMLS:C5238474
biolink:Disease,UMLS:C5392191
biolink:Disease,UMLS:C5205374
biolink:Disease,UMLS:C5231449
biolink:Disease,UMLS:C5206672
biolink:Disease,UMLS:C5229470
biolink:Disease,UMLS:C5394852
biolink:Disease,UMLS:C0559833
biolink:Disease,UMLS:C5395852
biolink:Disease,UMLS:C5392203
biolink:Disease,UMLS:C5205443
biolink:Disease,UMLS:C5238836
biolink:Disease,UMLS:C5214605
biolink:Disease,UMLS:C5237455
biolink:Disease,UMLS:C5232472
biolink:Disease,UMLS:C5392883
biolink:Disease,UMLS:C5200936
biolink:Disease,UMLS:C5392184
biolink:Disease,UMLS:C5392111
biolink:Disease,UMLS:C5392813
biolink:Disease,UMLS:C5204551
biolink:Disease,UMLS:C5395243
biolink:Disease,UMLS:C5237413
biolink:Disease,UMLS:C5206804
biolink:Disease,UMLS:C5237215
biolink:Disease,UMLS:C5206596
biolink:Disease,UMLS:C5230531
biolink:Disease,UMLS:C5241299
biolink:Disease,UMLS:C5231427
biolink:Disease,UMLS:C5394529
biolink:Disease,UMLS:C5395182
biolink:Disease,UMLS:C5395059
biolink:Disease,UMLS:C5238347
biolink:Disease,UMLS:C3826101
biolink:Disease,UMLS:C5392920
biolink:Disease,UMLS:C5392097
biolink:Disease,UMLS:C5206136
biolink:Disease,UMLS:C5394878
biolink:Disease,UMLS:C5205909
biolink:Disease,UMLS:C5229633
